"n" "rep" "id" "beta_0_hat" "beta_1_hat" "gamma_0_hat" "gamma_1_hat" "error" "errorMessage"
700 153 91 -1.33187937607518 3.42862268940168 2.27989264100067 -3.62200612346984 FALSE ""
900 64 92 -1.30312903783632 3.41977442315968 1.9712387109489 -3.15471436135108 FALSE ""
600 186 93 -1.37704755682645 3.50664659795685 2.30370226253555 -3.5505146007682 FALSE ""
700 15 94 -1.30675528418686 3.43454163230882 2.03432367262093 -3.49948237910521 FALSE ""
700 113 95 -1.34687332214731 3.3412692460369 2.40000494272848 -3.62449079418119 FALSE ""
800 16 96 -1.33010543757525 3.4088563153315 2.14425481177894 -3.5516560413014 FALSE ""
1000 114 97 -1.40653261201387 3.33807621494613 2.53115784321395 -3.27163115184665 FALSE ""
400 126 98 -1.36627580623786 3.46502928350643 2.26166092607541 -3.53559175770946 FALSE ""
500 112 99 0.485134165392156 3.41985010196055 -1.95713808611718 -2.4376538559628 FALSE ""
1000 139 100 -1.3386335346536 3.44145696925028 2.11493837308101 -3.4041785595226 FALSE ""
1000 129 101 -1.23313668521906 3.42553114340935 1.78932106210405 -3.36814268653384 FALSE ""
900 186 102 -1.24895290803872 3.34877820736701 2.04814457446666 -3.38172862016738 FALSE ""
700 145 103 -1.41089851636559 3.5449790160953 2.04190890730877 -2.96738988783926 FALSE ""
1000 29 104 -1.38362365074204 3.54751358748369 2.09127054497372 -3.46516461595058 FALSE ""
500 64 105 -1.27647954802909 3.3371362779927 2.03206036033063 -3.28589541174635 FALSE ""
500 197 106 -1.35332977621096 3.30142645922723 2.46784981064133 -3.46685874456699 FALSE ""
500 60 107 -1.21223669150076 3.24318712309007 2.13493810824586 -3.36750232859258 FALSE ""
700 34 108 -1.34683915025594 3.50839206200806 2.3085061858529 -3.62326309919575 FALSE ""
900 163 109 -1.2632433098013 3.47678836951197 1.79668972722579 -3.2069183109713 FALSE ""
800 151 110 -1.32933523049786 3.49925974093245 1.90265066392716 -3.15250642720958 FALSE ""
1000 94 111 -1.29518675349727 3.41315809309083 2.02662340027387 -3.4400789396893 FALSE ""
700 200 112 -1.28313492036709 3.41817447217239 1.94762143262629 -3.41034707787364 FALSE ""
500 149 113 -1.25138379737824 3.37681954006339 2.00489721103352 -3.49586441804765 FALSE ""
400 132 114 -1.27015305591321 3.35615804493273 2.36899141088963 -3.71057437598703 FALSE ""
600 127 115 -1.1636019699928 3.373907151458 1.6302177937747 -3.07263311513268 FALSE ""
600 57 116 -1.23279868242114 3.36006456781834 1.86753779759802 -2.97477948800411 FALSE ""
600 185 117 -1.35539340108155 3.37043435091692 2.53906754608935 -3.87174497025241 FALSE ""
700 160 118 -1.23751474255107 3.48644872007414 1.59976809429198 -3.1266020866335 FALSE ""
400 169 119 -1.1798973122973 3.31875256211648 2.29065911506752 -4.09423211954679 FALSE ""
400 148 120 -1.40026518035006 3.47433474155196 2.38726810395897 -3.60326787888867 FALSE ""
800 148 121 -1.30951919906751 3.3073319179116 2.39949711420742 -3.67536074700266 FALSE ""
400 39 122 -1.34241998657239 3.35764326853378 2.20614136150799 -2.96863612983455 FALSE ""
700 33 123 -1.38511232118289 3.46433534434446 2.49565570471745 -3.90922835124998 FALSE ""
900 147 124 -1.36282763935733 3.52059017630553 1.91043959786005 -3.16821779419421 FALSE ""
500 158 125 -1.38724213259824 3.48193793403462 2.13527793698741 -3.3222943039088 FALSE ""
800 30 126 -1.19530390321207 3.30760574788851 1.82016397650387 -3.07880714512643 FALSE ""
400 6 127 -1.33193684185042 3.52132205683323 1.84280076253472 -3.09913931681245 FALSE ""
500 90 128 -1.4115851261269 3.51619665940709 2.47010027301039 -3.61130082719943 FALSE ""
500 109 129 -1.34618459392886 3.35628895087222 2.32545363979979 -3.631196799547 FALSE ""
700 39 130 -1.28772744790019 3.35166546962161 2.09500829116644 -3.31564204719303 FALSE ""
1000 52 131 -1.32173784435322 3.35076027275338 2.26310880909774 -3.4518804533995 FALSE ""
400 70 132 -1.44107430855835 3.5361534626875 2.22271975248984 -3.43204158800362 FALSE ""
800 110 133 -1.39369506524233 3.48076275526374 2.20140440414255 -3.23851132817139 FALSE ""
900 43 134 -1.37391575229225 3.50349529086475 2.33136633067837 -3.67570916772209 FALSE ""
800 80 135 -1.30506296183175 3.56380798159369 1.59929153172284 -3.0320317281327 FALSE ""
800 36 136 -1.3385001279317 3.47185523725658 2.08276714127493 -3.29629209006259 FALSE ""
500 119 137 -1.43772405663476 3.57843601708167 2.04971626324132 -3.09890118565363 FALSE ""
500 99 138 -1.23206756162766 3.41912726873023 1.88906404530175 -3.49138057527267 FALSE ""
800 130 139 -1.1804946423267 3.25655836531638 1.9134085279633 -3.20290278219778 FALSE ""
1000 173 140 -1.25579707225774 3.44776750271353 1.78955966076276 -3.25746240736486 FALSE ""
1000 120 141 -1.31886113791074 3.46056325318433 1.99603597517979 -3.41240405893857 FALSE ""
1000 47 142 -1.35135763189915 3.45953733074781 2.20870019725774 -3.52582472826967 FALSE ""
700 22 143 -1.32407239322993 3.36190225593343 2.22613968495548 -3.49913979552641 FALSE ""
600 200 144 -1.29898010539811 3.50047603086025 1.97451599619925 -3.41809477685209 FALSE ""
900 21 145 -1.28504657643816 3.42213191238673 1.87386425025409 -3.11989795342002 FALSE ""
700 189 146 -1.21482345106919 3.32966489507385 2.01022872730342 -3.70489792893123 FALSE ""
1000 119 147 -1.32674711009047 3.34704276840689 2.42936425608429 -3.65504895577281 FALSE ""
400 117 148 -1.46561809468229 3.51710089440321 2.25549990344082 -3.20059994934401 FALSE ""
1000 45 149 -1.22570376452513 3.34188494876464 1.8884313147399 -3.18755161087101 FALSE ""
800 101 150 -1.29731371096198 3.36419093368121 2.07135229699822 -3.12793712558284 FALSE ""
500 146 151 -1.27807034287368 3.33047891661567 2.2158452997336 -3.39821330285673 FALSE ""
600 133 152 -1.41431475646609 3.54798116281734 2.30165912865649 -3.66177114231418 FALSE ""
600 165 153 -1.32792671601188 3.51089340945945 2.01542177969466 -3.52149186312712 FALSE ""
400 173 154 -1.24394986651254 3.59575266557173 1.57754584505914 -3.02767522712703 FALSE ""
700 82 155 -1.33418122268068 3.37634137852344 2.33500065592673 -3.69478673574316 FALSE ""
1000 76 156 -1.26988721335612 3.44003530189923 1.82640237210934 -3.15541136734717 FALSE ""
800 177 157 -1.314069994083 3.32473179890637 2.27167956038966 -3.63190793619558 FALSE ""
900 26 158 -1.26497966604695 3.33604792427771 2.16996055546149 -3.61731773908151 FALSE ""
400 141 159 -1.35657813322983 3.55059133438952 2.06015224641568 -3.28396360704698 FALSE ""
700 96 160 -1.28654261290609 3.40748182875193 2.18025912326147 -3.66223704254971 FALSE ""
400 83 161 -1.20669025590261 3.33745702504231 1.92055698370981 -3.39713531065545 FALSE ""
900 116 162 -1.27624462793834 3.40859679916376 2.05353452770647 -3.42705990808074 FALSE ""
500 166 163 -1.13206847097917 3.2488692789544 1.70332400465778 -3.30078570980014 FALSE ""
800 140 164 -1.36799853298133 3.39786285690748 2.41918780897606 -3.53092077511002 FALSE ""
400 17 165 -1.22179116265742 3.36525048520367 1.86369416271718 -3.20907031162981 FALSE ""
700 175 166 -1.41764000947124 3.38653313945977 2.46257814165572 -3.51057525307749 FALSE ""
400 53 167 -1.32926901050929 3.52448872335789 2.16791811293824 -3.5723999855159 FALSE ""
600 51 168 -1.28056204609787 3.41866634203583 2.10366531664985 -3.63541353134375 FALSE ""
700 36 169 -1.28999713969045 3.42014874404931 2.13398607391823 -3.72843053196233 FALSE ""
600 47 170 -1.19045224665753 3.29546638941546 1.92596853014464 -3.23530065656036 FALSE ""
600 193 171 -1.27327558834531 3.30120502032617 2.41267522135816 -3.88589432700414 FALSE ""
700 56 172 -1.1689791735126 3.32888332810342 1.81322077718334 -3.2196074866904 FALSE ""
600 79 173 -1.34112035069723 3.39681442776577 2.28844894892786 -3.44302684007985 FALSE ""
900 82 174 -1.44693399491798 3.48137969352042 2.39513050725289 -3.61307950068389 FALSE ""
900 120 175 -1.26784761321824 3.45361188134575 1.83989701542046 -3.17243934686767 FALSE ""
500 83 176 -1.23787871084107 3.14829037566946 2.62185682890949 -3.81770670298166 FALSE ""
600 137 177 -1.29083254117178 3.42525768855713 2.17783577485167 -3.92628360256612 FALSE ""
900 78 178 -1.3061806270146 3.4836069509727 2.02248521246223 -3.35218464662359 FALSE ""
400 99 179 -1.25210891044986 3.27948308795155 2.35051917675567 -3.88932956581706 FALSE ""
400 200 180 -1.35637542713782 3.37347181517728 2.15603470477605 -3.1536166288743 FALSE ""
800 87 181 -1.24950005824825 3.34670154840593 2.03825766418405 -3.32886065038503 FALSE ""
1000 126 182 -1.34198336334398 3.41785354620333 2.26247739834777 -3.63947624097715 FALSE ""
700 192 183 -1.23494703185849 3.41184324283072 1.96120941093429 -3.70797022927124 FALSE ""
700 38 184 -1.32079310671269 3.42552714457886 1.70173397674263 -2.70415313882427 FALSE ""
800 46 185 -1.2867337599522 3.35114421234359 2.07104615175249 -3.40001760247634 FALSE ""
900 46 186 -1.3127500712063 3.34216153685696 2.02528133913624 -3.04105799672798 FALSE ""
1000 108 187 -1.29429458469777 3.31407561655623 2.09777966230532 -3.26854698114615 FALSE ""
800 25 188 -1.35666561688502 3.32590194118333 2.32572449497218 -3.40369341727578 FALSE ""
