"n" "mu" "sigma" "rep" "id" "mu_hat" "sigma_hat" "error" "errorMessage"
50 1 0.5 71 154 1.14887642467688 0.373962956475112 FALSE ""
300 1.5 1.5 84 155 1.64787326977317 1.14908348899898 FALSE ""
300 1.5 0.5 76 156 1.81470878707259 0.292618971202323 FALSE ""
150 0.5 0.5 54 157 0.418945699021995 0.742358258737802 FALSE ""
100 0.5 1.5 48 158 0.581922040305526 0.670380221711417 FALSE ""
150 1 0.5 38 159 1.03055847877442 0.455509393273729 FALSE ""
150 1 0.5 17 160 1.0287688580999 0.681106136451248 FALSE ""
200 1 1.5 30 161 1.22936594388573 0.78322870891816 FALSE ""
200 1 0.5 31 162 0.879747318522279 0.612295497372636 FALSE ""
300 1 0.5 78 163 0.893214224833269 0.746256343877392 FALSE ""
300 1 0.5 73 164 0.986538929273868 0.551522220875511 FALSE ""
300 1 0.5 14 165 0.945485017384006 0.486494585615447 FALSE ""
150 0.5 1.5 18 166 0.383235081352712 2.47607099132328 FALSE ""
50 1 1.5 25 167 0.939879434397182 2.0369393007454 FALSE ""
50 1 0.5 91 168 0.757632508554573 0.922060809766837 FALSE ""
300 1 1.5 99 169 1.074251276364 1.44087210253537 FALSE ""
50 0.5 1.5 19 170 0.547314937778062 0.908400618615762 FALSE ""
300 1 1.5 11 171 0.975686504908396 1.58415419601397 FALSE ""
150 0.5 1.5 82 172 0.467698852394654 1.70297182202765 FALSE ""
200 1.5 0.5 70 173 1.83218113033526 0.391542791381761 FALSE ""
100 1.5 1.5 41 174 1.76717916294635 1.05970909211881 FALSE ""
50 1 0.5 86 175 0.889479145158522 0.667020743666325 FALSE ""
150 1 0.5 92 176 1.03218736734375 0.429025280548435 FALSE ""
200 0.5 1.5 23 177 0.438918709010414 1.96346248763111 FALSE ""
100 1.5 1.5 36 178 1.68802809980055 1.20940570744128 FALSE ""
100 0.5 1.5 44 179 0.612614289935587 0.763513105818712 FALSE ""
300 1 1.5 31 180 1.1247288268121 1.12382352387547 FALSE ""
200 1 1.5 87 181 0.751882770885628 2.88524753879683 FALSE ""
100 1 0.5 90 182 1.05648402503713 0.574060270454007 FALSE ""
150 1 1.5 50 183 0.869190459262898 1.91956835142155 FALSE ""
300 0.5 1.5 55 184 0.479258893112004 1.88763234072483 FALSE ""
100 1.5 1.5 49 185 1.23903065030982 3.0141226194623 FALSE ""
50 0.5 0.5 80 186 0.982351535766213 0.147089387040738 FALSE ""
300 1 1.5 22 187 0.912773905468849 2.03278829298783 FALSE ""
100 1.5 1.5 63 188 1.41016100777928 2.58573541113093 FALSE ""
50 1 1.5 58 189 0.951709421907044 1.74779354305625 FALSE ""
150 1 0.5 52 190 1.24429237068617 0.270869596020621 FALSE ""
300 0.5 1.5 67 191 0.457680361150483 1.75485793025262 FALSE ""
150 1.5 1.5 7 192 1.31367795192241 2.50904615420226 FALSE ""
150 1 0.5 37 193 0.889727109422114 0.911279752164398 FALSE ""
200 1 0.5 3 194 0.744904562169877 0.862562280786667 FALSE ""
300 1 0.5 9 195 0.977975267240327 0.520198511947116 FALSE ""
200 1.5 0.5 16 196 2.06948944292012 0.275174979436865 FALSE ""
50 0.5 1.5 96 197 0.393311728269837 3.01677188135133 FALSE ""
150 1 1.5 95 198 1.06897356121302 1.24946926342109 FALSE ""
100 0.5 0.5 16 199 0.579734709286773 0.387216855597402 FALSE ""
150 1 1.5 68 200 1.17946602043775 1.03582758722435 FALSE ""
300 1.5 0.5 67 201 1.53769985593425 0.540345131099644 FALSE ""
50 1.5 0.5 75 202 1.28371948992918 0.662140037397321 FALSE ""
300 1.5 1.5 30 203 1.42555021930945 1.75928321741362 FALSE ""
300 1 1.5 55 204 0.941026555454108 1.56097892535679 FALSE ""
100 1.5 0.5 48 205 504426.984193839 2.21387168927711e-16 FALSE ""
100 0.5 1.5 55 206 0.521140457117343 1.09642886817409 FALSE ""
300 1 1.5 28 207 1.0390525827682 1.66046357317579 FALSE ""
100 1 1.5 61 208 1.1244537266541 0.845168021226926 FALSE ""
200 0.5 1.5 79 209 0.504454123518409 1.5953099864215 FALSE ""
200 1.5 0.5 25 210 1.42176491773248 0.654211879642032 FALSE ""
150 0.5 1.5 34 211 0.539887923053455 1.20990014933921 FALSE ""
300 1 1.5 82 212 0.9334548869008 2.05771957805549 FALSE ""
100 1.5 1.5 85 213 1.45157464230778 1.61077025132779 FALSE ""
50 1.5 1.5 52 214 1.58195486056573 1.78177235481745 FALSE ""
50 0.5 0.5 21 215 0.287437178474475 3.28806376502899 FALSE ""
100 1.5 1.5 75 216 1.75655878225754 1.10221189806709 FALSE ""
200 1 0.5 35 217 1.0671323105756 0.448638761542834 FALSE ""
200 0.5 1.5 40 218 0.391593493498386 2.80209763387369 FALSE ""
50 1.5 1.5 31 219 0.900261875685654 4.42533980324315 FALSE ""
50 1.5 0.5 15 220 1.04255952569926 0.836867017602465 FALSE ""
150 1.5 0.5 76 221 2.17340092236947 0.289526582970778 FALSE ""
100 1 1.5 5 222 1.11534669655506 1.13253542178499 FALSE ""
300 0.5 0.5 12 223 0.418196729276596 0.642602424351045 FALSE ""
200 1 0.5 12 224 0.798497446216654 1.01976821896621 FALSE ""
300 0.5 1.5 68 225 0.53958992747551 1.11189197288469 FALSE ""
150 1 1.5 46 226 0.93609476301036 2.33758744592314 FALSE ""
150 1 1.5 43 227 0.839585045814182 1.89717142451282 FALSE ""
50 1 0.5 78 228 0.586521847710762 2.44253298386889 FALSE ""
300 0.5 0.5 63 229 0.392523583399972 0.982209316994627 FALSE ""
300 1 0.5 35 230 1.07042859080698 0.452750023838622 FALSE ""
300 0.5 1.5 26 231 0.487459917463173 1.56789858392455 FALSE ""
100 1.5 0.5 41 232 1.20393447648633 0.876497349797492 FALSE ""
300 0.5 0.5 68 233 0.647191977020119 0.345874352842065 FALSE ""
300 1 1.5 92 234 0.903123032411614 1.66557499383512 FALSE ""
100 0.5 0.5 41 235 0.860139394891485 0.178728969034208 FALSE ""
50 1.5 1.5 69 236 1.42646743722852 1.48596392864283 FALSE ""
150 0.5 1.5 61 237 0.557422795688579 1.07654800227664 FALSE ""
150 0.5 1.5 12 238 0.424358728908535 2.44559180663229 FALSE ""
50 1.5 1.5 61 239 1.29853106337913 2.2631633299889 FALSE ""
150 0.5 0.5 77 240 0.603614431614225 0.481428104652114 FALSE ""
150 1.5 1.5 3 241 1.32841046629741 1.85394561137498 FALSE ""
150 0.5 0.5 24 242 0.31211276052865 1.87832523056766 FALSE ""
100 0.5 0.5 1 243 0.540386724852961 0.510000052113977 FALSE ""
100 0.5 0.5 55 244 0.69535272115742 0.237343145143683 FALSE ""
100 1.5 0.5 30 245 1.50719513134793 0.44417594205991 FALSE ""
50 1 1.5 82 246 1.02826288050049 0.918272793234757 FALSE ""
200 1 1.5 39 247 1.11852601250391 1.17091186423173 FALSE ""
100 0.5 0.5 5 248 0.524756839133338 0.631185672346954 FALSE ""
100 1.5 1.5 72 249 1.49562166568439 1.28191218068435 FALSE ""
50 1.5 1.5 47 250 2.37701419052326 0.55795325792346 FALSE ""
100 0.5 0.5 29 251 0.397604778119537 0.583730816737065 FALSE ""
100 0.5 1.5 70 252 0.434601294235416 1.96155415220762 FALSE ""
50 1.5 1.5 99 253 1.47706642079469 1.42196745380591 FALSE ""
200 0.5 1.5 5 254 0.484223241181291 1.49872943374558 FALSE ""
300 0.5 1.5 34 255 0.423563664155906 2.28014707833339 FALSE ""
150 0.5 1.5 98 256 0.478257049118316 1.6893861319965 FALSE ""
50 1.5 1.5 11 257 1.58124512015407 1.61913834576348 FALSE ""
300 1 0.5 75 258 1.21204413941339 0.30043299166122 FALSE ""
150 1 0.5 34 259 1.04492402195097 0.477824131138505 FALSE ""
100 0.5 1.5 5 260 0.321644818462342 4.36840308034288 FALSE ""
200 0.5 1.5 24 261 0.37659614905105 3.21115730103689 FALSE ""
200 0.5 1.5 62 262 0.497241759558686 1.2368825204118 FALSE ""
